person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
28,53000.0,RENT,8.0,VENTURE,B,4500.0,9.88,1,0.08,N,9
22,30000.0,RENT,0.0,PERSONAL,D,2200.0,14.27,1,0.07,N,8
35,56000.0,MORTGAGE,0.0,MEDICAL,F,25000.0,22.11,1,0.45,Y,13
22,13000.0,RENT,7.0,DEBTCONSOLIDATION,C,2500.0,8.9,1,0.19,Y,12
23,64000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,D,19000.0,7.66,1,0.3,Y,3
20,10800.0,OWN,3.0,MEDICAL,D,15000.0,12.61,1,0.83,N,2
24,36500.0,RENT,9.0,DEBTCONSOLIDATION,A,5000.0,7.49,1,0.14,N,6
22,36000.0,RENT,0.0,HOMEIMPROVEMENT,B,17814.5,15.95,1,0.49,Y,4
25,54000.0,MORTGAGE,1.0,VENTURE,F,8000.0,15.7,1,0.15,Y,7
35,80728.91,MORTGAGE,0.0,DEBTCONSOLIDATION,D,15000.0,15.62,1,0.19,N,8
25,56100.0,RENT,2.0,DEBTCONSOLIDATION,D,3450.0,14.09,1,0.06,N,7
25,22000.0,MORTGAGE,0.0,MEDICAL,A,1500.0,14.09,1,0.07,N,6
22,30000.0,RENT,7.0,EDUCATION,C,5000.0,15.65,1,0.17,Y,2
27,55200.0,RENT,5.0,MEDICAL,B,12000.0,14.17,1,0.22,N,3
23,34000.0,RENT,4.0,VENTURE,C,5000.0,8.0,1,0.15,N,9
36,54000.0,RENT,3.0,DEBTCONSOLIDATION,E,15000.0,17.14,1,0.28,N,12
30,150582.87,RENT,7.0,MEDICAL,D,16000.0,16.0,1,0.11,N,10
23,62900.0,RENT,8.0,MEDICAL,E,3600.0,15.31,1,0.06,N,2
39,47421.58,RENT,3.0,PERSONAL,D,22000.0,13.48,1,0.46,Y,3
22,18000.0,OWN,7.0,PERSONAL,C,6000.0,13.23,1,0.33,Y,2
29,30000.0,OWN,5.0,EDUCATION,B,1500.0,9.99,1,0.05,Y,4
24,50000.0,RENT,6.0,DEBTCONSOLIDATION,D,20000.0,10.91,1,0.4,N,4
24,44000.0,RENT,4.0,VENTURE,C,12000.0,6.91,1,0.27,N,4
22,19200.0,RENT,0.0,VENTURE,B,3500.0,8.0,1,0.18,N,3
27,86000.0,RENT,1.0,PERSONAL,A,10000.0,11.49,1,0.12,Y,4
26,66300.0,RENT,5.0,MEDICAL,A,14000.0,14.84,1,0.21,N,6
41,30000.0,RENT,10.0,DEBTCONSOLIDATION,A,24000.0,9.32,1,0.8,N,25
33,30298.74,RENT,1.0,VENTURE,F,3000.0,18.25,1,0.1,N,7
34,75000.0,RENT,7.0,VENTURE,E,24000.0,13.99,1,0.32,N,14
40,34000.0,RENT,7.0,MEDICAL,C,23000.0,13.98,1,0.68,N,8
27,65000.0,MORTGAGE,1.0,PERSONAL,C,2000.0,13.92,1,0.03,N,3
35,33000.0,RENT,0.0,MEDICAL,B,6000.0,16.35,1,0.18,Y,25
21,56100.0,RENT,8.0,HOMEIMPROVEMENT,C,25000.0,6.62,1,0.45,N,3
28,51879.61,RENT,1.0,MEDICAL,B,25000.0,11.83,1,0.48,N,8
21,12000.0,OWN,6.0,EDUCATION,D,3000.0,13.22,1,0.25,N,2
32,54000.0,RENT,5.0,PERSONAL,D,8000.0,15.23,1,0.15,Y,4
21,34000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,B,24000.0,11.36,1,0.71,N,2
21,42000.0,RENT,2.0,MEDICAL,D,6000.0,15.68,1,0.14,Y,2
22,44000.0,RENT,7.0,VENTURE,A,14500.0,12.99,1,0.33,N,2
22,60000.0,RENT,6.0,EDUCATION,C,3000.0,12.87,1,0.05,Y,2
22,288000.0,RENT,10.0,DEBTCONSOLIDATION,D,29199.44,14.96,1,0.1,N,8
23,34000.0,MORTGAGE,10.0,MEDICAL,B,12250.0,14.11,1,0.36,N,3
21,50000.0,RENT,3.0,EDUCATION,C,15000.0,12.99,1,0.3,Y,2
21,54000.0,MORTGAGE,3.0,VENTURE,D,13000.0,16.0,1,0.24,Y,2
36,47000.0,MORTGAGE,3.0,MEDICAL,B,14072.67,14.22,1,0.3,N,17
26,34000.0,RENT,0.0,PERSONAL,D,3000.0,13.57,1,0.09,N,2
24,47000.0,MORTGAGE,0.0,EDUCATION,D,6500.0,15.67,1,0.14,N,2
34,103000.0,RENT,0.0,HOMEIMPROVEMENT,B,18000.0,14.83,1,0.17,N,6
22,74436.09,RENT,9.0,PERSONAL,C,16000.0,10.0,1,0.21,N,2
42,49247.68,RENT,7.0,DEBTCONSOLIDATION,C,12000.0,6.54,1,0.24,N,6
24,18718.62,RENT,1.0,DEBTCONSOLIDATION,A,14400.0,7.9,1,0.77,N,2
25,30000.0,MORTGAGE,5.0,VENTURE,A,6000.0,10.99,1,0.2,N,6
47,118000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,E,18000.0,18.79,1,0.15,Y,10
22,76500.0,RENT,1.0,DEBTCONSOLIDATION,A,15250.0,13.22,1,0.2,N,8
22,42000.0,MORTGAGE,1.0,EDUCATION,D,9000.0,16.69,1,0.21,N,9
22,30000.0,RENT,10.0,MEDICAL,B,7000.0,11.48,1,0.23,N,6
22,81396.57,RENT,6.0,HOMEIMPROVEMENT,D,15000.0,13.11,1,0.18,N,2
23,30000.0,RENT,1.0,VENTURE,C,6500.0,13.22,1,0.22,N,7
25,81600.0,MORTGAGE,0.0,MEDICAL,F,17000.0,18.64,1,0.21,N,13
24,50000.0,MORTGAGE,1.0,MEDICAL,A,4200.0,12.49,1,0.08,N,4
24,32000.0,RENT,7.0,MEDICAL,B,15000.0,12.99,1,0.47,N,2
22,20000.0,RENT,0.0,EDUCATION,A,6000.0,8.49,1,0.3,Y,2
26,118000.0,RENT,8.0,DEBTCONSOLIDATION,B,35000.0,15.23,1,0.3,N,4
20,24000.0,RENT,0.0,EDUCATION,B,17000.0,8.94,1,0.71,N,2
21,15120.49,RENT,0.0,MEDICAL,B,9800.0,13.49,1,0.65,N,2
27,39000.0,MORTGAGE,0.0,VENTURE,D,3250.0,13.57,1,0.08,N,2
29,36000.0,RENT,2.0,EDUCATION,A,6537.95,8.94,1,0.18,N,15
33,56475.91,RENT,5.0,DEBTCONSOLIDATION,D,12000.0,16.32,1,0.21,N,7
52,128000.0,RENT,8.0,VENTURE,E,20000.0,16.35,1,0.16,N,4
36,56950.0,MORTGAGE,5.0,VENTURE,B,8000.0,14.65,1,0.14,N,6
22,80004.0,RENT,3.0,PERSONAL,A,18000.0,9.63,1,0.22,N,2
32,25000.0,RENT,1.0,MEDICAL,D,10808.24,15.65,1,0.43,Y,3
35,50000.0,MORTGAGE,7.0,MEDICAL,D,15000.0,21.26,1,0.3,Y,4
40,14400.0,RENT,4.0,VENTURE,C,3000.0,8.9,1,0.21,N,2
24,32000.0,RENT,5.0,PERSONAL,C,24250.0,5.42,1,0.76,N,2
23,29000.0,RENT,2.0,EDUCATION,D,2400.0,19.29,1,0.08,N,3
21,51000.0,RENT,0.0,DEBTCONSOLIDATION,D,25000.0,13.24,1,0.49,Y,2
23,30000.0,RENT,0.0,PERSONAL,B,9000.0,11.49,1,0.3,N,8
26,88000.0,RENT,3.0,MEDICAL,D,20000.0,12.42,1,0.23,N,10
22,26004.0,RENT,2.0,HOMEIMPROVEMENT,A,17000.0,13.49,1,0.65,Y,4
28,24000.0,RENT,4.0,PERSONAL,E,7750.0,16.32,1,0.32,N,7
24,25200.0,RENT,8.0,PERSONAL,B,7500.0,11.71,1,0.3,Y,3
22,57000.0,RENT,6.0,EDUCATION,B,10000.0,14.83,1,0.18,N,3
35,113000.0,RENT,8.0,EDUCATION,E,18000.0,12.18,1,0.16,N,2
22,39000.0,RENT,0.0,PERSONAL,B,7500.0,10.99,1,0.19,N,6
39,76446.44,RENT,3.0,EDUCATION,D,15000.0,16.0,1,0.2,N,15
27,68350.78,RENT,4.0,PERSONAL,B,12000.0,13.23,1,0.18,N,2
24,51000.0,RENT,3.0,DEBTCONSOLIDATION,A,2000.0,15.27,1,0.04,Y,6
27,24000.0,RENT,0.0,MEDICAL,C,3250.0,7.29,1,0.14,N,14
24,64464.0,RENT,2.0,DEBTCONSOLIDATION,F,10000.0,19.42,1,0.16,N,4
27,65006.71,RENT,4.0,PERSONAL,C,35000.0,7.51,1,0.54,N,8
23,45407.11,MORTGAGE,10.0,MEDICAL,A,6800.0,15.7,1,0.15,Y,8
36,18000.0,RENT,1.0,PERSONAL,C,5000.0,6.17,1,0.28,N,3
22,21600.0,MORTGAGE,1.0,HOMEIMPROVEMENT,A,4000.0,7.49,1,0.19,N,8
35,62500.0,RENT,3.0,DEBTCONSOLIDATION,C,11200.0,13.11,1,0.18,Y,4
22,29000.0,RENT,9.0,VENTURE,B,5000.0,8.94,1,0.17,Y,2
65,77000.0,MORTGAGE,5.0,EDUCATION,D,20000.0,15.58,1,0.26,N,7
40,39000.0,MORTGAGE,1.0,HOMEIMPROVEMENT,C,4000.0,14.27,1,0.1,N,4
45,36000.0,MORTGAGE,0.0,VENTURE,D,4000.0,15.62,1,0.11,N,8
35,77878.95,RENT,5.0,HOMEIMPROVEMENT,D,35000.0,16.49,1,0.45,N,3
28,42000.0,MORTGAGE,2.0,MEDICAL,A,4000.0,6.54,1,0.1,N,4
24,19132.09,OWN,8.0,PERSONAL,C,10000.0,10.99,1,0.52,N,4
25,29000.0,RENT,5.0,PERSONAL,D,3200.0,11.99,1,0.11,N,3
41,35582.68,RENT,6.0,PERSONAL,D,12000.0,13.22,1,0.34,N,9
21,24913.59,RENT,3.0,PERSONAL,E,15000.0,12.99,1,0.6,Y,4
27,56092.14,MORTGAGE,3.0,EDUCATION,D,9000.0,14.26,1,0.16,N,2
24,34000.0,RENT,8.0,MEDICAL,D,6000.0,10.99,1,0.18,N,8
29,27096.0,MORTGAGE,10.0,DEBTCONSOLIDATION,B,9500.0,5.42,1,0.35,N,4
22,29106.35,RENT,0.0,MEDICAL,B,12000.0,15.31,1,0.41,N,4
33,39000.0,MORTGAGE,2.0,EDUCATION,C,20000.0,9.99,1,0.51,N,10
26,45404.06,RENT,0.0,EDUCATION,B,12000.0,12.21,1,0.26,N,3
30,188000.0,MORTGAGE,4.0,VENTURE,E,11500.0,18.39,1,0.06,Y,2
25,39896.58,RENT,0.0,EDUCATION,D,14000.0,15.33,1,0.35,N,2
22,30000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,D,8000.0,13.57,1,0.27,N,2
21,5416.7,RENT,0.0,MEDICAL,C,1000.0,14.59,1,0.18,N,2
39,40000.0,RENT,1.0,VENTURE,D,9600.0,14.83,1,0.24,N,9
24,118000.0,MORTGAGE,4.0,PERSONAL,F,25000.0,22.36,1,0.21,Y,2
24,88000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,E,19000.0,16.77,1,0.22,N,7
22,51845.28,RENT,4.0,MEDICAL,D,11300.0,14.65,1,0.22,N,2
26,56000.0,RENT,5.0,PERSONAL,D,9885.56,16.45,1,0.18,Y,2
29,84000.0,RENT,3.0,HOMEIMPROVEMENT,F,30000.0,15.99,1,0.36,N,2
44,51500.0,RENT,3.0,HOMEIMPROVEMENT,C,8000.0,14.26,1,0.16,Y,8
24,28000.0,RENT,0.0,HOMEIMPROVEMENT,B,12000.0,13.99,1,0.43,Y,2
28,38500.0,MORTGAGE,1.0,PERSONAL,C,10000.0,8.58,1,0.26,N,6
20,34050.13,RENT,1.0,HOMEIMPROVEMENT,D,6400.0,9.91,1,0.19,N,4
24,36000.0,RENT,4.0,PERSONAL,D,8000.0,13.57,1,0.22,N,3
28,74000.0,RENT,1.0,EDUCATION,C,35000.0,16.89,1,0.47,Y,16
21,26400.0,RENT,3.0,EDUCATION,D,4500.0,16.02,1,0.17,Y,2
25,40000.0,MORTGAGE,5.0,MEDICAL,B,6000.0,14.11,1,0.15,Y,9
34,15000.0,RENT,8.0,DEBTCONSOLIDATION,D,5000.0,14.54,1,0.33,Y,4
23,48996.0,RENT,9.0,MEDICAL,E,3500.0,16.49,1,0.07,N,4
22,14400.0,RENT,1.0,MEDICAL,A,1500.0,11.48,1,0.1,N,2
27,54000.0,RENT,10.0,MEDICAL,D,5500.0,16.0,1,0.1,N,4
22,18000.0,RENT,7.0,DEBTCONSOLIDATION,A,7000.0,13.79,1,0.39,N,2
32,17869.04,RENT,3.0,MEDICAL,C,2122.12,8.49,1,0.12,N,23
28,80000.0,MORTGAGE,8.0,EDUCATION,C,18000.0,11.71,1,0.22,N,3
28,84000.0,MORTGAGE,1.0,PERSONAL,A,24000.0,12.69,1,0.29,Y,8
28,43000.0,MORTGAGE,7.0,EDUCATION,D,7400.0,11.14,1,0.17,Y,7
23,26400.0,RENT,4.0,DEBTCONSOLIDATION,D,8000.0,14.84,1,0.3,Y,3
29,116000.0,MORTGAGE,0.0,PERSONAL,A,24000.0,13.36,1,0.21,Y,4
23,40000.0,RENT,3.0,HOMEIMPROVEMENT,E,5000.0,14.61,1,0.12,N,4
40,49881.43,RENT,9.0,VENTURE,E,16000.0,16.35,1,0.32,Y,10
23,31800.0,RENT,8.0,PERSONAL,E,6250.0,18.25,1,0.2,N,3
30,32400.0,RENT,10.0,VENTURE,D,4000.0,12.69,1,0.12,N,3
25,63600.0,RENT,3.0,MEDICAL,G,15000.0,19.04,1,0.24,Y,3
22,30000.0,RENT,2.0,PERSONAL,D,8400.0,17.44,1,0.28,N,8
23,12000.0,RENT,5.0,MEDICAL,C,6000.0,8.9,1,0.5,N,6
23,30000.0,OWN,3.0,DEBTCONSOLIDATION,D,15000.0,17.58,1,0.5,Y,2
32,21996.0,MORTGAGE,0.0,MEDICAL,D,9000.0,10.95,1,0.41,N,8
24,33000.0,RENT,8.0,PERSONAL,B,3200.0,8.32,1,0.1,N,3
21,39000.0,RENT,0.0,DEBTCONSOLIDATION,D,4000.0,16.29,1,0.1,Y,3
22,31000.0,OTHER,5.0,VENTURE,B,12267.1,11.71,1,0.4,N,2
34,98000.0,RENT,8.0,EDUCATION,D,15000.0,14.61,1,0.15,N,2
40,33000.0,RENT,5.0,PERSONAL,D,20000.0,11.34,1,0.61,N,7
30,10841.59,MORTGAGE,0.0,DEBTCONSOLIDATION,C,1000.0,10.0,1,0.09,N,8
26,52000.0,RENT,0.0,HOMEIMPROVEMENT,D,11400.0,17.27,1,0.22,Y,14
24,39000.0,RENT,0.0,PERSONAL,B,20000.0,15.58,1,0.51,Y,4
25,78000.0,RENT,10.0,DEBTCONSOLIDATION,A,30000.0,14.83,1,0.38,N,10
24,49000.0,RENT,1.0,VENTURE,D,5000.0,19.42,1,0.1,Y,4
25,31000.0,RENT,4.0,EDUCATION,B,15000.0,8.88,1,0.48,N,3
25,46000.0,RENT,1.0,VENTURE,A,15000.0,15.99,1,0.33,N,2
28,49434.13,RENT,0.0,PERSONAL,D,7000.0,15.62,1,0.14,Y,9
25,55000.0,RENT,4.0,HOMEIMPROVEMENT,B,12312.21,15.62,1,0.22,N,4
49,43000.0,RENT,4.0,MEDICAL,C,20000.0,9.62,1,0.47,N,4
26,69000.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,1500.0,18.3,1,0.02,Y,3
27,159184.39,RENT,3.0,MEDICAL,D,25000.0,15.59,1,0.16,N,15
22,96735.93,RENT,6.0,EDUCATION,D,16809.89,19.03,1,0.17,N,2
34,19800.0,RENT,1.0,PERSONAL,D,2687.82,10.65,1,0.14,N,13
28,34800.0,RENT,6.0,HOMEIMPROVEMENT,B,6600.0,10.36,1,0.19,N,9
22,49963.39,RENT,10.0,MEDICAL,D,5606.28,13.23,1,0.11,Y,2
41,103542.98,MORTGAGE,1.0,MEDICAL,A,20000.0,6.54,1,0.19,N,2
27,60000.0,MORTGAGE,0.0,MEDICAL,B,10000.0,17.49,1,0.17,N,2
24,57000.0,MORTGAGE,5.0,VENTURE,C,16000.0,6.76,1,0.28,N,2
21,54000.0,MORTGAGE,1.0,DEBTCONSOLIDATION,B,16000.0,12.41,1,0.3,Y,4
23,39000.0,RENT,0.0,DEBTCONSOLIDATION,A,8700.0,11.11,1,0.22,N,3
28,62050.0,RENT,6.0,DEBTCONSOLIDATION,A,35000.0,14.96,1,0.56,Y,15
21,44000.0,MORTGAGE,5.0,MEDICAL,A,11300.0,12.42,1,0.26,N,2
22,15996.0,RENT,0.0,VENTURE,D,6000.0,14.54,1,0.38,Y,10
33,35002.58,RENT,2.0,PERSONAL,D,15000.0,10.25,1,0.43,N,14
23,67149.44,MORTGAGE,4.0,EDUCATION,B,25000.0,15.28,1,0.37,N,3
22,33600.0,RENT,5.0,VENTURE,A,3000.0,14.83,1,0.09,N,4
24,48000.0,RENT,6.0,DEBTCONSOLIDATION,C,4388.37,9.32,1,0.09,N,3
22,55283.9,RENT,4.0,DEBTCONSOLIDATION,C,1800.0,11.71,1,0.03,Y,8
22,54000.0,MORTGAGE,6.0,VENTURE,B,15000.0,17.56,1,0.28,Y,2
28,24000.0,RENT,3.0,PERSONAL,B,2000.0,8.59,1,0.08,N,6
23,17000.0,OWN,0.0,EDUCATION,B,12000.0,9.63,1,0.71,N,4
27,49000.0,RENT,3.0,EDUCATION,B,6000.0,11.11,1,0.12,Y,17
26,28000.0,RENT,4.0,EDUCATION,B,10000.0,14.46,1,0.36,Y,9
36,42000.0,MORTGAGE,7.0,MEDICAL,D,20000.0,8.49,1,0.48,N,8
23,62903.0,RENT,4.0,DEBTCONSOLIDATION,B,24000.0,11.48,1,0.38,N,4
28,76000.0,RENT,6.0,EDUCATION,E,9000.0,19.42,1,0.12,Y,3
25,15600.0,RENT,0.0,EDUCATION,A,2225.0,15.27,1,0.14,N,4
26,32000.0,RENT,1.0,EDUCATION,D,5000.0,11.49,1,0.16,N,3
30,86004.0,RENT,3.0,MEDICAL,B,12000.0,14.54,1,0.14,N,2
22,48565.36,MORTGAGE,3.0,PERSONAL,B,13000.0,14.48,1,0.27,Y,3
22,59000.0,MORTGAGE,4.0,MEDICAL,D,14847.05,14.59,1,0.25,N,3
23,65450.0,RENT,5.0,DEBTCONSOLIDATION,D,3982.22,15.31,1,0.06,Y,3
22,18000.0,RENT,1.0,PERSONAL,D,8377.17,16.0,1,0.47,Y,4
21,45000.0,MORTGAGE,10.0,VENTURE,D,12000.0,15.99,1,0.27,N,2
22,50000.0,RENT,1.0,DEBTCONSOLIDATION,E,10000.0,17.58,1,0.2,Y,2
45,32000.0,RENT,4.0,MEDICAL,A,6000.0,6.54,1,0.19,N,10
23,42000.0,MORTGAGE,6.0,HOMEIMPROVEMENT,B,10000.0,15.99,1,0.24,Y,6
37,103000.0,RENT,10.0,DEBTCONSOLIDATION,E,14500.0,13.92,1,0.14,Y,4
34,28000.0,OWN,0.0,PERSONAL,C,20000.0,12.18,1,0.71,N,4
35,33600.0,MORTGAGE,0.0,EDUCATION,D,18000.0,13.49,1,0.54,N,6
23,40000.0,RENT,4.0,PERSONAL,C,12000.0,8.49,1,0.3,N,2
29,50400.0,RENT,10.0,PERSONAL,C,9250.0,9.64,1,0.18,N,10
29,31000.0,RENT,8.0,HOMEIMPROVEMENT,D,15000.0,13.11,1,0.48,Y,2
23,44004.0,RENT,4.0,DEBTCONSOLIDATION,D,10000.0,14.09,1,0.23,Y,4
26,153000.0,MORTGAGE,6.0,VENTURE,D,30000.0,14.96,1,0.2,N,2
23,20964.68,OWN,0.0,DEBTCONSOLIDATION,C,6000.0,11.49,1,0.29,N,2
37,95439.1,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10000.0,14.65,1,0.1,N,3
24,23000.0,RENT,3.0,MEDICAL,A,16000.0,11.11,1,0.7,Y,2
33,78000.0,MORTGAGE,0.0,VENTURE,A,24250.0,13.99,1,0.31,N,14
22,62050.0,RENT,2.0,DEBTCONSOLIDATION,D,20000.0,16.0,1,0.32,N,2
28,64000.0,RENT,3.0,VENTURE,B,14889.63,7.49,1,0.23,N,4
36,27000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,D,16750.0,14.96,1,0.62,Y,3
22,34320.0,RENT,4.0,MEDICAL,B,5000.0,16.7,1,0.15,Y,4
21,29200.04,OWN,0.0,DEBTCONSOLIDATION,A,6000.0,18.25,1,0.21,N,2
35,123000.0,RENT,10.0,MEDICAL,C,14500.0,12.69,1,0.12,Y,4
29,49171.7,MORTGAGE,9.0,MEDICAL,D,16000.0,15.05,1,0.33,N,17
27,20000.0,MORTGAGE,0.0,MEDICAL,C,8000.0,13.49,1,0.4,N,2
24,60000.0,RENT,0.0,VENTURE,D,20000.0,14.84,1,0.33,N,9
32,64953.66,RENT,6.0,DEBTCONSOLIDATION,D,5000.0,7.9,1,0.08,N,8
24,44000.0,RENT,0.0,MEDICAL,B,3000.0,10.59,1,0.07,Y,3
33,36000.0,MORTGAGE,7.0,EDUCATION,A,16000.0,14.46,1,0.44,N,9
32,27120.0,MORTGAGE,0.0,PERSONAL,B,3000.0,16.35,1,0.11,N,3
32,37000.0,RENT,0.0,VENTURE,C,3000.0,6.62,1,0.08,N,14
27,34000.0,MORTGAGE,9.0,VENTURE,D,7000.0,10.74,1,0.21,N,6
30,61200.0,RENT,6.0,MEDICAL,E,12000.0,12.84,1,0.2,N,3
47,56004.0,RENT,9.0,MEDICAL,A,12000.0,15.37,1,0.21,N,10
23,47855.03,RENT,1.0,MEDICAL,A,3000.0,13.85,1,0.06,Y,2
36,51996.0,RENT,8.0,HOMEIMPROVEMENT,B,10000.0,12.53,1,0.19,N,9
54,148000.0,RENT,0.0,DEBTCONSOLIDATION,D,12000.0,16.0,1,0.08,Y,13
25,15600.0,RENT,1.0,EDUCATION,B,1400.0,7.14,1,0.09,N,6
22,33000.0,RENT,9.0,DEBTCONSOLIDATION,D,2000.0,11.11,1,0.06,N,2
22,24960.0,MORTGAGE,1.0,DEBTCONSOLIDATION,B,3000.0,14.84,1,0.12,N,3
22,16800.0,MORTGAGE,1.0,MEDICAL,B,10000.0,7.51,1,0.6,N,4
23,45000.0,RENT,2.0,HOMEIMPROVEMENT,C,6000.0,7.49,1,0.13,Y,10
34,168000.0,RENT,7.0,PERSONAL,A,25000.0,14.35,1,0.15,Y,10
23,38000.0,RENT,1.0,VENTURE,A,6800.0,12.53,1,0.18,Y,2
21,42000.0,OWN,0.0,DEBTCONSOLIDATION,B,12000.0,10.99,1,0.29,N,2
25,62047.0,RENT,3.0,EDUCATION,C,20000.0,7.9,1,0.32,N,2
25,100473.22,RENT,10.0,EDUCATION,E,20000.0,15.65,1,0.2,Y,7
24,49000.0,RENT,10.0,EDUCATION,D,20000.0,13.98,1,0.41,N,4
28,23209.08,RENT,0.0,VENTURE,D,2200.0,14.22,1,0.09,Y,2
24,72000.0,RENT,4.0,MEDICAL,D,23576.4,9.91,1,0.33,N,6
22,19378.01,MORTGAGE,1.0,PERSONAL,B,1000.0,13.92,1,0.05,Y,3
28,65991.68,RENT,3.0,DEBTCONSOLIDATION,B,24159.55,13.43,1,0.37,N,9
27,67147.15,RENT,0.0,MEDICAL,A,10000.0,7.4,1,0.15,Y,7
25,28000.0,RENT,0.0,VENTURE,C,11000.0,10.65,1,0.39,N,2
34,30894.57,MORTGAGE,7.0,HOMEIMPROVEMENT,C,4000.0,9.32,1,0.13,N,4
28,98000.0,RENT,5.0,MEDICAL,D,8000.0,14.59,1,0.08,N,7
27,25000.0,RENT,1.0,MEDICAL,E,10000.0,14.11,1,0.4,N,16
25,34000.0,RENT,2.0,EDUCATION,D,10000.0,14.42,1,0.29,N,2
22,12000.0,RENT,6.0,DEBTCONSOLIDATION,A,8800.0,11.03,1,0.73,N,2
21,34000.0,RENT,0.0,DEBTCONSOLIDATION,A,8000.0,8.63,1,0.24,N,2
22,18000.0,RENT,2.0,PERSONAL,D,8400.0,11.83,1,0.47,Y,3
36,73000.0,RENT,0.0,HOMEIMPROVEMENT,C,20000.0,5.99,1,0.27,N,8
22,68869.35,RENT,3.0,PERSONAL,D,15000.0,14.35,1,0.22,N,4
26,31200.0,RENT,4.0,VENTURE,B,9250.0,13.06,1,0.3,N,4
24,72000.0,RENT,1.0,MEDICAL,D,24500.0,15.33,1,0.34,Y,2
